entity,entity_name,level,period,indicator,value,unit,source_id,series_id,quality,footnotes
WLD,Verden,world,-2670,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2650,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2630,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2610,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2590,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2570,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2550,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2530,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2510,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2490,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2470,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2450,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2430,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2410,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2390,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2370,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2350,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2330,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2310,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2290,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2270,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2250,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2230,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2210,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2190,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2170,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2150,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2130,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2110,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2090,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2070,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2050,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2030,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-2010,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-1990,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-1970,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-1950,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-1930,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-1910,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-1890,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-1870,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-1850,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-1830,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-1810,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-1790,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-1770,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-1750,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-1730,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-1710,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-1690,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
WLD,Verden,world,-1670,charcoal_index,0.3362,zscore,K10,gcd_charcoal_composite,reconstructed,f_proxy
